symbol;currency_base;currency_quote
"ALTCOM/BTC";"AltCommunity Coin";"Bitcoin"
"ALTCOM/USD";"AltCommunity Coin";"US Dollar"
"ALTC/USD";"Antilitecoin";"US Dollar"
"AMB/BTC";"Ambrosus";"Bitcoin"
"AMBER/USD";"AmberCoin";"US Dollar"
"AMB/ETH";"Ambrosus";"Ethereum"
"AMB/USD";"Ambrosus";"US Dollar"
"AMM/BTC";"MicroMoney";"Bitcoin"
"AMM/ETH";"MicroMoney";"Ethereum"
"AMMO/USD";"Ammo Reloaded";"US Dollar"
"AMM/USD";"MicroMoney";"US Dollar"
"AMPL/BTC";"Ampleforth";"Bitcoin"
"AMPL/ETH";"Ampleforth";"Ethereum"
"AMPL/USD";"Ampleforth";"US Dollar"
"AMPt/USD";"Amp";"US Dollar"
"AMP/USD";"Synereo";"US Dollar"
"AMS/BTC";"AmsterdamCoin";"Bitcoin"
"AMS/USD";"AmsterdamCoin";"US Dollar"
"ANCp/BTC";"Anchor Protocol";"Bitcoin"
"ANCp/USD";"Anchor Protocol";"US Dollar"
"ANI/USD";"Animecoin";"US Dollar"
"ANKR/BTC";"Ankr";"Bitcoin"
"ANKR/KRW";"Ankr";"Korean Won"
"ANKR/TRY";"Ankr";"Turkish Lira"
"ANKR/USD";"Ankr";"US Dollar"
"Anoncoin/USD";"Anoncoin";"US Dollar"
"ANT/BTC";"Aragon";"Bitcoin"
"ANT/ETH";"Aragon";"Ethereum"
"ANTI/USD";"AntiBitcoin";"US Dollar"
"ANT/USD";"Aragon";"US Dollar"
"ANTX/USD";"Antimatter";"US Dollar"
"ANY/BTC";"Anyswap";"Bitcoin"
"ANY/USD";"Anyswap";"US Dollar"
"AOAR/BTC";"Aurora";"Bitcoin"
"AOAR/USD";"Aurora";"US Dollar"
"APE/BTC";"ApeCoin";"Bitcoin"
"APE/CAD";"ApeCoin";"Canadian Dollar"
"APE/USD";"ApeCoin";"US Dollar"
"API3/USD";"API3";"US Dollar"
"APIS/USD";"APIS";"US Dollar"
"APL/BTC";"Apollo Currency";"Bitcoin"
"APL/USD";"Apollo Currency";"US Dollar"
"APPC/BTC";"AppCoins";"Bitcoin"
"APPC/ETH";"AppCoins";"Ethereum"
"APPC/USD";"AppCoins";"US Dollar"
"APT/USD";"Aptos";"US Dollar"
"APX/USD";"APX";"US Dollar"
"ARB/BTC";"ARbit";"Bitcoin"
"ARBIT/USD";"ARbit";"US Dollar"
"ARBI/USD";"ARBITRAGE";"US Dollar"
"AR/BRL";"Arweave";"Brazil Real"
"ARB/USD";" Arbitrum";"US Dollar"
"AR/CAD";"Arweave";"Canadian Dollar"
"ARCO/BTC";"AquariusCoin";"Bitcoin"
"ARCO/USD";"AquariusCoin";"US Dollar"
"ARDR/BTC";"Ardor";"Bitcoin"
"ARDR/ETH";"Ardor";"Ethereum"
"ARDR/KRW";"Ardor";"Korean Won"
"ARDR/USD";"Ardor";"US Dollar"
"AR/EUR";"Arweave";"Euro"
"ARGUS/BTC";"Argus";"Bitcoin"
"ARG/USD";"Argentum";"US Dollar"
"ARGUS/USD";"Argus";"US Dollar"
"ARI/USD";"Aricoin";"US Dollar"
"ARK/AUD";"Ark";"Australian Dollar"
"ARK/BTC";"Ark";"Bitcoin"
"ARK/KRW";"Ark";"Korean Won"
"ARK/USD";"Ark";"US Dollar"
"ARN/ETH";"Aeron";"Ethereum"
"ARN/USD";"Aeron";"US Dollar"
"ARNX/BTC";"Aeron";"Bitcoin"
"ARPA/BTC";"ARPA Chain";"Bitcoin"
"ARPA/USD";"ARPA Chain";"US Dollar"
"ART/BTC";"Maecenas";"Bitcoin"
"ART/USD";"Maecenas";"US Dollar"
"AR/USD";"Arweave";"US Dollar"
"ARV/USD";"Ariva";"US Dollar"
"ASN/USD";"Aseancoin";"US Dollar"
"AST/BTC";"AirSwap";"Bitcoin"
"ASTRO/USD";"Astro";"US Dollar"
"ASTR/USD";"Astar";"US Dollar"
"AST/USD";"AirSwap";"US Dollar"
"ATA/BTC";"Automata Network";"Bitcoin"
"ATA/USD";"Automata Network";"US Dollar"
"ATB/BTC";"ATBCoin";"Bitcoin"
"ATB/USD";"ATBCoin";"US Dollar"
"ATLAS/USD";"Star Atlas";"US Dollar"
"ATL/BTC";"ATLANT";"Bitcoin"
"ATL/USD";"ATLANT";"US Dollar"
"ATMS/USD";"Atmos";"US Dollar"
"ATM/USD";"ATMChain";"US Dollar"
"ATOM/BNB";"Cosmos";"Binance Coin"
"ATOM/BTC";"Cosmos";"Bitcoin"
"ATOM/CAD";"Cosmos";"Canadian Dollar"
"ATOMc/USD";"Atomic Coin";"US Dollar"
"ATOM/ETH";"Cosmos";"Ethereum"
"ATOM/EUR";"Cosmos";"Euro"
