symbol;currency_base;currency_quote
"BTC/PEN";"Bitcoin";"Peru Sol"
"BTC/PLN";"Bitcoin";"Polish Zloty"
"BTCP/USD";"Bitcoin Private";"US Dollar"
"BTCR/BTC";"Bitcurrency";"Bitcoin"
"BTCRED/BTC";"Bitcoin Red";"Bitcoin"
"BTCRED/USD";"Bitcoin Red";"US Dollar"
"BTC/RUB";"Bitcoin";"Russian Ruble"
"BTCR/USD";"Bitcurrency";"US Dollar"
"BTC/SAR";"Bitcoin";"Saudi Riyal"
"BTC/SEK";"Bitcoin";"Swedish Krona"
"BTC/SGD";"Bitcoin";"Singapore Dollar"
"BTCST/BTC";"Bitcoin Standard Hashrate Token";"Bitcoin"
"BTCST/ETH";"Bitcoin Standard Hashrate Token";"Ethereum"
"BTCST/USD";"Bitcoin Standard Hashrate Token";"US Dollar"
"BTCS/USD";"Bitcoin Scrypt";"US Dollar"
"BTC/THB";"Bitcoin";"Thai Baht"
"BTC/TRY";"Bitcoin";"Turkish Lira"
"BTC/UAH";"Bitcoin";"Ukrainian Hryvnia"
"BTC/UGX";"Bitcoin";"Ugandan Shilling"
"BTC/USD";"Bitcoin";"US Dollar"
"BTCV/BTC";"Bitcoin Vault";"Bitcoin"
"BTC/VND";"Bitcoin";"Vietnamese Dong"
"BTCV/USD";"Bitcoin Vault";"US Dollar"
"BTC/XAU";"Bitcoin";"Gold Spot"
"BTC/XRP";"Bitcoin";"XRP"
"BTC/ZAR";"Bitcoin";"South African Rand"
"BTCZ/BTC";"BitcoinZ";"Bitcoin"
"BTC/ZMW";"Bitcoin";"Zambia Kwacha"
"BTCZ/USD";"BitcoinZ";"US Dollar"
"BTDX/BTC";"Bitcloud";"Bitcoin"
"BTDX/USD";"Bitcloud";"US Dollar"
"BTE/USD";"BitSerial";"US Dollar"
"BTG/AUD";"Bitcoin Gold";"Australian Dollar"
"BTG/BTC";"Bitcoin Gold";"Bitcoin"
"BTG/CAD";"Bitcoin Gold";"Canadian Dollar"
"BTG/CNY";"Bitcoin Gold";"Chinese Yuan"
"BTG/ETH";"Bitcoin Gold";"Ethereum"
"BTG/HKD";"Bitcoin Gold";"Hong Kong Dollar"
"BTG/ILS";"Bitcoin Gold";"Israeli Shekel"
"BTG/INR";"Bitcoin Gold";"Indian Rupee"
"BTG/KRW";"Bitcoin Gold";"Korean Won"
"BTG/MXN";"Bitcoin Gold";"Mexican Peso"
"BTG/MYR";"Bitcoin Gold";"Malaysian Ringgit"
"BTG/PLN";"Bitcoin Gold";"Polish Zloty"
"BTG/RUB";"Bitcoin Gold";"Russian Ruble"
"BTG/SAR";"Bitcoin Gold";"Saudi Riyal"
"BTG/SEK";"Bitcoin Gold";"Swedish Krona"
"BTG/TRY";"Bitcoin Gold";"Turkish Lira"
"BTG/USD";"Bitcoin Gold";"US Dollar"
"BTG/VND";"Bitcoin Gold";"Vietnamese Dong"
"BTG/ZAR";"Bitcoin Gold";"South African Rand"
"BTK/USD";"Bitcoin Turbo Koin";"US Dollar"
"BTMA/USD";"Bitmark";"US Dollar"
"BTM/BTC";"Bytom";"Bitcoin"
"BTM/ETH";"Bytom";"Ethereum"
"BTM/USD";"Bytom";"US Dollar"
"BTO/BTC";"Bottos";"Bitcoin"
"BTO/ETH";"Bottos";"Ethereum"
"BTO/USD";"Bottos";"US Dollar"
"BTPL/USD";"Bitcoin Planet";"US Dollar"
"BTS/BTC";"BitShares";"Bitcoin"
"BTS/ETH";"BitShares";"Ethereum"
"BTS/USD";"BitShares";"US Dollar"
"BTT/INR";"BitTorrent (New)";"Indian Rupee"
"BTT/KRW";"BitTorrent (New)";"Korean Won"
"BTTN/BNB";"BitTorrent";"Binance Coin"
"BTTN/BRL";"BitTorrent";"Brazil Real"
"BTTN/BTC";"BitTorrent";"Bitcoin"
"BTTN/ETH";"BitTorrent";"Ethereum"
"BTTN/EUR";"BitTorrent";"Euro"
"BTTN/IDR";"BitTorrent";"Indonesian Rupiah"
"BTTN/INR";"BitTorrent";"Indian Rupee"
"BTTN/KRW";"BitTorrent";"Korean Won"
"BTTN/TRX";"BitTorrent";"TRON"
"BTTN/TRY";"BitTorrent";"Turkish Lira"
"BTTN/USD";"BitTorrent";"US Dollar"
"BTT/TRX";"BitTorrent (New)";"TRON"
"BTT/TRY";"BitTorrent (New)";"Turkish Lira"
"BTT/USD";"BitTorrent (New)";"US Dollar"
"BTUp/BTC";"BTU Protocol";"Bitcoin"
"BTUp/USD";"BTU Protocol";"US Dollar"
"BTW/USD";"BitWhite";"US Dollar"
"BTXN/TRY";"BTXN Coin";"Turkish Lira"
"BTXN/USD";"BTXN Coin";"US Dollar"
"BTX/USD";"BitCore";"US Dollar"
"BUB/BTC";"Bubble";"Bitcoin"
"BU/BTC";"BUMO";"Bitcoin"
"BUB/USD";"Bubble";"US Dollar"
"BUCKS/BTC";"SwagBucks";"Bitcoin"
"BUCKS/USD";"SwagBucks";"US Dollar"
"BUL/BTC";"Bulleon";"Bitcoin"
"BUL/USD";"Bulleon";"US Dollar"
"BUMBA/USD";"BumbaCoin";"US Dollar"
"BUSD/INR";"Binance USD";"Indian Rupee"
"BUSD/USD";"Binance USD";"US Dollar"
"BU/USD";"BUMO";"US Dollar"
"BUZZ/USD";"BuzzCoin";"US Dollar"
"BVC/BTC";"BeaverCoin";"Bitcoin"
"BVC/USD";"BeaverCoin";"US Dollar"
"BWK/BTC";"Bulwark";"Bitcoin"
"BWK/USD";"Bulwark";"US Dollar"
"BXC/USD";"Bitcedi";"US Dollar"
"BXT/BTC";"BitTokens";"Bitcoin"
"BXT/USD";"BitTokens";"US Dollar"
"BYC/USD";"Bytecent";"US Dollar"
"BZE/BTC";"BZEdge";"Bitcoin"
"BZE/USD";"BZEdge";"US Dollar"
"BZNT/BNB";"Bezant";"Binance Coin"
"BZNT/USD";"Bezant";"US Dollar"
"BZX/BTC";"Bitcoin Zero";"Bitcoin"
"BZX/USD";"Bitcoin Zero";"US Dollar"
"C20/BTC";"CRYPTO20";"Bitcoin"
"C20/ETH";"CRYPTO20";"Ethereum"
"C20/USD";"CRYPTO20";"US Dollar"
"C2/BTC";"Coin2.1";"Bitcoin"
"C2/USD";"Coin2.1";"US Dollar"
"C98/BTC";"Coin98";"Bitcoin"
"C98/USD";"Coin98";"US Dollar"
"CAB/BTC";"Cabbage";"Bitcoin"
"CAB/USD";"Cabbage";"US Dollar"
"CAG/BTC";"Change";"Bitcoin"
"CAG/USD";"Change";"US Dollar"
"CAKE/BNB";"PancakeSwap";"Binance Coin"
"CAKE/BRL";"PancakeSwap";"Brazil Real"
"CAKE/BTC";"PancakeSwap";"Bitcoin"
"CAKE/INR";"PancakeSwap";"Indian Rupee"
"CAKE/USD";"PancakeSwap";"US Dollar"
"CALC/USD";"CaliphCoin";"US Dollar"
"CAN/BNB";"CanYaCoin";"Binance Coin"
"CANN/BTC";"CannabisCoin";"Bitcoin"
"CANN/USD";"CannabisCoin";"US Dollar"
"CAN/USD";"CanYaCoin";"US Dollar"
"CAPP/BTC";"Cappasity";"Bitcoin"
"CAPP/ETH";"Cappasity";"Ethereum"
"CAPP/USD";"Cappasity";"US Dollar"
"CARBON/USD";"Carboncoin";"US Dollar"
"CARD/BTC";"Cardstack";"Bitcoin"
"CARD/ETH";"Cardstack";"Ethereum"
"CARD/USD";"Cardstack";"US Dollar"
"CASH/USD";"Cashcoin";"US Dollar"
"CAT/USD";"BlockCAT";"US Dollar"
"CBC/BTC";"CryptoBossCoin";"Bitcoin"
"CBC/USD";"CryptoBossCoin";"US Dollar"
"CBD/USD";"CBD Crystals";"US Dollar"
"CBT/USD";"CommerceBlock";"US Dollar"
"CBX/BTC";"Crypto Bullion";"Bitcoin"
"CBXN/BTC";"Bullion";"Bitcoin"
"CBXN/USD";"Bullion";"US Dollar"
"CBX/USD";"Crypto Bullion";"US Dollar"
"CCO/ETH";"Ccore";"Ethereum"
"CCO/USD";"Ccore";"US Dollar"
"CCRB/BTC";"CryptoCarbon";"Bitcoin"
"CCRB/USD";"CryptoCarbon";"US Dollar"
"CCT/BTC";"Crystal Clear";"Bitcoin"
"CCT/USD";"Crystal Clear";"US Dollar"
"CDM/USD";"Condominium";"US Dollar"
"CDN/USD";"Canada eCoin";"US Dollar"
"CDT/BTC";"CoinDash";"Bitcoin"
"CDT/ETH";"CoinDash";"Ethereum"
"CDT/USD";"CoinDash";"US Dollar"
"CDX/BTC";"CDX Network";"Bitcoin"
"CDX/USD";"CDX Network";"US Dollar"
"CEEK/USD";"CEEK VR";"US Dollar"
"CEL/CAD";"Celsius";"Canadian Dollar"
"CEL/ETH";"Celsius";"Ethereum"
"CELO/CAD";"Celo";"Canadian Dollar"
"CELO/USD";"Celo";"US Dollar"
"CELR/BNB";"Celer Network";"Binance Coin"
"CELR/BTC";"Celer Network";"Bitcoin"
"CELR/USD";"Celer Network";"US Dollar"
"CEL/USD";"Celsius";"US Dollar"
"CENNZ/BTC";"Centrality";"Bitcoin"
"CENNZ/ETH";"Centrality";"Ethereum"
"CENNZ/USD";"Centrality";"US Dollar"
"CET/BCH";"CoinEx Token";"Bitcoin Cash"
"CET/BTC";"CoinEx Token";"Bitcoin"
"CET/ETH";"CoinEx Token";"Ethereum"
"CET/USD";"CoinEx Token";"US Dollar"
"CF/BTC";"Californium";"Bitcoin"
"CFC/USD";"CoffeeCoin";"US Dollar"
"CFD/USD";"Confido";"US Dollar"
"CF/USD";"Californium";"US Dollar"
"CFX/BTC";"Conflux";"Bitcoin"
"CFX/USD";"Conflux";"US Dollar"
"CGLD/BTC";"Celo";"Bitcoin"
"CGLD/USD";"Celo";"US Dollar"
"CHAT/BTC";"ChatCoin";"Bitcoin"
"CHAT/ETH";"ChatCoin";"Ethereum"
"CHAT/USD";"ChatCoin";"US Dollar"
"CHC/USD";"ChainCoin";"US Dollar"
"CHEAP/USD";"Cheapcoin";"US Dollar"
"CHESS/BTC";"ChessCoin";"Bitcoin"
"CHESS/USD";"ChessCoin";"US Dollar"
"CHR/BTC";"Chromia";"Bitcoin"
"CHR/USD";"Chromia";"US Dollar"
"CHSB/BTC";"SwissBorg";"Bitcoin"
"CHSB/ETH";"SwissBorg";"Ethereum"
"CHSB/USD";"SwissBorg";"US Dollar"
"CHZ/BRL";"Chiliz";"Brazil Real"
"CHZ/BTC";"Chiliz";"Bitcoin"
"CHZ/CAD";"Chiliz";"Canadian Dollar"
"CHZ/EUR";"Chiliz";"Euro"
"CHZ/INR";"Chiliz";"Indian Rupee"
"CHZ/TRY";"Chiliz";"Turkish Lira"
"CHZ/USD";"Chiliz";"US Dollar"
"CIX100/USD";"Cryptoindex.com 100";"US Dollar"
"CJ/USD";"Cryptojacks";"US Dollar"
"CKB/BUSD";"Nervos Network";"Binance USD"
"CKB/USD";"Nervos Network";"US Dollar"
"CLAM/BTC";"Clams";"Bitcoin"
"CLAM/USD";"Clams";"US Dollar"
"CLOAK/BTC";"CloakCoin";"Bitcoin"
"CLOAK/USD";"CloakCoin";"US Dollar"
"CLO/BTC";"Callisto Network";"Bitcoin"
"CLO/ETH";"Callisto Network";"Ethereum"
"CLO/USD";"Callisto Network";"US Dollar"
"CLUB/BTC";"ClubCoin";"Bitcoin"
"CLUB/USD";"ClubCoin";"US Dollar"
"CMCT/ETH";"Crowd Machine";"Ethereum"
"CMCT/USD";"Crowd Machine";"US Dollar"
"CME/USD";"Cashme";"US Dollar"
"CMPCO/USD";"CampusCoin";"US Dollar"
"CMS/BTC";"COMSA [ETH]";"Bitcoin"
"CMS/USD";"COMSA [ETH]";"US Dollar"
"CMTA/BTC";"Comet";"Bitcoin"
"CMTA/USD";"Comet";"US Dollar"
"CMT/BTC";"CyberMiles";"Bitcoin"
"CMT/ETH";"CyberMiles";"Ethereum"
"CMT/USD";"CyberMiles";"US Dollar"
"CND/BTC";"Cindicator";"Bitcoin"
"CND/ETH";"Cindicator";"Ethereum"
"CND/USD";"Cindicator";"US Dollar"
"CNNC/BTC";"Cannation";"Bitcoin"
"CNNC/USD";"Cannation";"US Dollar"
"CNO/USD";"Coin(O)";"US Dollar"
"CNT/BTC";"Centurion";"Bitcoin"
"CNT/USD";"Centurion";"US Dollar"
"CNX/USD";"Cryptonex";"US Dollar"
"COAL/USD";"BitCoal";"US Dollar"
"COB/BTC";"Cobinhood";"Bitcoin"
"COB/USD";"Cobinhood";"US Dollar"
"COCOS/USD";"Cocos-BCX";"US Dollar"
"COFI/BTC";"CoinFi";"Bitcoin"
"COFI/ETH";"CoinFi";"Ethereum"
"COFI/USD";"CoinFi";"US Dollar"
"COLX/BTC";"ColossusXT";"Bitcoin"
"COLX/USD";"ColossusCoinXT";"US Dollar"
"COMP/BTC";"Compound";"Bitcoin"
"COMP/CAD";"Compound";"Canadian Dollar"
"COMP/USD";"Compound";"US Dollar"
"CON/BTC";"PayCon";"Bitcoin"
"CON/USD";"PayCon";"US Dollar"
"CONX/BTC";"Concoin";"Bitcoin"
"CONX/USD";"Concoin";"US Dollar"
"CORE/USD";"cVault.finance";"US Dollar"
"CORG/USD";"CorgiCoin";"US Dollar"
"COR/USD";"CORION";"US Dollar"
"COS/USD";"COS";"US Dollar"
"COT/ETH";"CoTrader";"Ethereum"
"COTI/BTC";"COTI";"Bitcoin"
"COTI/USD";"COTI";"US Dollar"
"COT/USD";"CoTrader";"US Dollar"
"COUPE/USD";"Coupecoin";"US Dollar"
"COVAL/USD";"Circuits of Value";"US Dollar"
"COV/BTC";"Covesting";"Bitcoin"
"COV/ETH";"Covesting";"Ethereum"
"COV/USD";"Covesting";"US Dollar"
"CPCH/BTC";"CPChain";"Bitcoin"
"CPCH/ETH";"CPChain";"Ethereum"
"CPCH/USD";"CPChain";"US Dollar"
"CPC/USD";"Capricoin";"US Dollar"
"CRAVE/BTC";"Crave";"Bitcoin"
"CRAVE/USD";"Crave";"US Dollar"
"CRB/USD";"Creditbit";"US Dollar"
"CRCA/BTC";"CryCash";"Bitcoin"
"CRCA/DOGE";"CryCash";"Dogecoin"
"CRCA/ETH";"CryCash";"Ethereum"
"CRCA/RUB";"CryCash";"Russian Ruble"
"CRCA/USD";"CryCash";"US Dollar"
"CRCA/WAVES";"CryCash";"Waves"
"CRDNC/USD";"Credence Coin";"US Dollar"
"CRED/BTC";"Verify";"Bitcoin"
"CREDO/USD";"Credo";"US Dollar"
"CRED/USD";"Verify";"US Dollar"
"CREVA/USD";"CrevaCoin";"US Dollar"
"CRM/BTC";"Cream";"Bitcoin"
"CRM/USD";"Cream";"US Dollar"
"CRO/BTC";"Crypto.com Coin";"Bitcoin"
"CRO/EUR";"Crypto.com Coin";"Euro"
"CRO/IDR";"Crypto.com Coin";"Indonesian Rupiah"
"CRO/KRW";"Crypto.com Coin";"Korean Won"
"CRO/USD";"Crypto.com Coin";"US Dollar"
"CRPT/BTC";"Crypterium";"Bitcoin"
"CRPT/ETH";"Crypterium";"Ethereum"
"CRPT/USD";"Crypterium";"US Dollar"
"CRTM/USD";"Corethum";"US Dollar"
"CRV/BTC";"Curve DAO Token";"Bitcoin"
"CRV/EUR";"Curve DAO Token";"Euro"
"CRV/INR";"Curve DAO Token";"Indian Rupee"
"CRV/TRY";"Curve DAO Token";"Turkish Lira"
"CRV/USD";"Curve DAO Token";"US Dollar"
"CRVUSD/USD";"crvUSD";"US Dollar"
"CRW/BTC";"Crown";"Bitcoin"
"CRW/USD";"Crown";"US Dollar"
"CRX/USD";"Chronos";"US Dollar"
"CS/BTC";"Credits";"Bitcoin"
"CS/ETH";"Credits";"Ethereum"
"CSNO/USD";"BitDice";"US Dollar"
"CSPR/USD";"Casper";"US Dollar"
"CS/USD";"Credits";"US Dollar"
"CTIC2/BTC";"Coimatic 2.0";"Bitcoin"
"CTIC2/USD";"Coimatic 2.0";"US Dollar"
"CTIC3/USD";"Coimatic 3.0";"US Dollar"
"CTSI/BNB";"Cartesi";"Binance Coin"
"CTSI/BTC";"Cartesi";"Bitcoin"
"CTSI/USD";"Cartesi";"US Dollar"
"CTXC/BTC";"Cortex";"Bitcoin"
"CTXC/ETH";"Cortex";"Ethereum"
"CTXC/USD";"Cortex";"US Dollar"
"CTX/USD";"CarTaxi Token";"US Dollar"
"CURE/BTC";"Curecoin";"Bitcoin"
"CURE/USD";"Curecoin";"US Dollar"
"CV2/USD";"Colossuscoin V2";"US Dollar"
"CV/BTC";"carVertical";"Bitcoin"
"CVC/BTC";"Civic";"Bitcoin"
"CVC/ETH";"Civic";"Ethereum"
"CVC/KRW";"Civic";"Korean Won"
"CVC/THB";"Civic";"Thai Baht"
"CVC/USD";"Civic";"US Dollar"
"CV/ETH";"carVertical";"Ethereum"
"CVT/BTC";"CyberVein";"Bitcoin"
"CVT/ETH";"CyberVein";"Ethereum"
"CVT/INR";"CyberVein";"Indian Rupee"
"CVT/USD";"CyberVein";"US Dollar"
"CV/USD";"carVertical";"US Dollar"
"CVX/BTC";"Convex Finance";"Bitcoin"
"CVX/USD";"Convex Finance";"US Dollar"
"CWXT/USD";"CryptoWorldX Token";"US Dollar"
"CXT/BTC";"Coinonat";"Bitcoin"
"CXT/USD";"Coinonat";"US Dollar"
"CYC/USD";"Cycling Coin";"US Dollar"
"CYDER/USD";"Cyder";"US Dollar"
"DAG/BTC";"Constellation";"Bitcoin"
"DAG/ETH";"Constellation";"Ethereum"
"DAG/USD";"Constellation";"US Dollar"
"DAI/BTC";"Dai";"Bitcoin"
"DAI/CAD";"Dai";"Canadian Dollar"
"DAI/ETH";"Dai";"Ethereum"
"DAI/USD";"Dai";"US Dollar"
"DALC/BTC";"Dalecoin";"Bitcoin"
"DALC/USD";"Dalecoin";"US Dollar"
"DARn/BNB";"Mines of Dalarnia";"BNB"
"DARn/BTC";"Mines of Dalarnia";"Bitcoin"
"DARn/USD";"Mines of Dalarnia";"US Dollar"
"DASH/AUD";"Dash";"Australian Dollar"
"DASH/BCH";"Dash";"Bitcoin Cash"
"DASH/BNB";"Dash";"Binance Coin"
"DASH/BTC";"Dash";"Bitcoin"
"DASH/CAD";"Dash";"Canadian Dollar"
"DASH/CNY";"Dash";"Chinese Yuan"
"DASH/ETH";"Dash";"Ethereum"
"DASH/EUR";"Dash";"Euro"
"DASHG/BTC";"Dash Green";"Bitcoin"
"DASHG/USD";"Dash Green";"US Dollar"
"DASH/HKD";"Dash";"Hong Kong Dollar"
"DASH/ILS";"Dash";"Israeli Shekel"
"DASH/INR";"Dash";"Indian Rupee"
"DASH/JPY";"Dash";"Japanese Yen"
"DASH/KRW";"Dash";"Korean Won"
"DASH/MXN";"Dash";"Mexican Peso"
"DASH/MYR";"Dash";"Malaysian Ringgit"
"DASH/PLN";"Dash";"Polish Zloty"
"DASH/RUB";"Dash";"Russian Ruble"
"DASH/SAR";"Dash";"Saudi Riyal"
"DASHS/BTC";"Dashs";"Bitcoin"
"DASH/SEK";"Dash";"Swedish Krona"
"DASHS/USD";"Dashs";"US Dollar"
"DASH/TRY";"Dash";"Turkish Lira"
"DASH/USD";"Dash";"US Dollar"
"DASH/VND";"Dash";"Vietnamese Dong"
"DASH/ZAR";"Dash";"South African Rand"
"DATA/BTC";"Streamr";"Bitcoin"
"DATA/ETH";"Streamr DATAcoin";"Ethereum"
"DATA/USD";"Streamr DATAcoin";"US Dollar"
"DAT/BTC";"Datum";"Bitcoin"
"DAT/ETH";"Datum";"Ethereum"
"DAT/USD";"Datum";"US Dollar"
"DAV/USD";"DavorCoin";"US Dollar"
"DAX/IDR";"DAEX";"Indonesian Rupiah"
"DAX/USD";"DAEX";"US Dollar"
"DAY/ETH";"Chronologic";"Ethereum"
"DAY/USD";"Chronologic";"US Dollar"
"DBC/BTC";"DeepBrain Chain";"Bitcoin"
"DBC/ETH";"DeepBrain Chain";"Ethereum"
"DBC/INR";"DeepBrain Chain";"Indian Rupee"
"DBC/USD";"DeepBrain Chain";"US Dollar"
"DBG/BTC";"Digital Bullion Gold";"Bitcoin"
"DBG/USD";"Digital Bullion Gold";"US Dollar"
"DBIX/BTC";"DubaiCoin";"Bitcoin"
"DBIX/USD";"DubaiCoin";"US Dollar"
"D/BTC";"Denarius";"Bitcoin"
"DBTC/USD";"Debitcoin";"US Dollar"
"DCC/USD";"Distributed Credit Chain";"US Dollar"
"DCN/ETH";"Dentacoin";"Ethereum"
"DCN/USD";"Dentacoin";"US Dollar"
"DCR/BTC";"Decred";"Bitcoin"
"DCRE/BTC";"DeltaCredits";"Bitcoin"
"DCRE/USD";"DeltaCredits";"US Dollar"
"DCR/USD";"Decred";"US Dollar"
"DCT/BTC";"DECENT";"Bitcoin"
"DCT/USD";"DECENT";"US Dollar"
"DCY/BTC";"Dinastycoin";"Bitcoin"
"DCY/USD";"Dinastycoin";"US Dollar"
"DDD/BTC";"Scry.info";"Bitcoin"
"DDD/ETH";"Scry.info";"Ethereum"
"DDD/USD";"Scry.info";"US Dollar"
"DDF/USD";"DigitalDevelopersFund";"US Dollar"
"DDK/BTC";"DDKoin";"Bitcoin"
"DDK/USD";"DDKoin";"US Dollar"
"DEEX/BTC";"DEEX";"Bitcoin"
"DEEX/USD";"DEEX";"US Dollar"
"DEM/BTC";"Deutsche eMark";"Bitcoin"
"DEM/USD";"Deutsche eMark";"US Dollar"
"DENT/BTC";"Dent";"Bitcoin"
"DENT/ETH";"Dent";"Ethereum"
"DENT/INR";"Dent";"Indian Rupee"
"DENT/USD";"Dent";"US Dollar"
"DERO/BTC";"Dero";"Bitcoin"
"DERO/USD";"Dero";"US Dollar"
"DES/BTC";"Destiny";"Bitcoin"
"DES/USD";"Destiny";"US Dollar"
"DEUS/USD";"DeusCoin";"US Dollar"
"DFT/BTC";"DraftCoin";"Bitcoin"
"DFT/USD";"DraftCoin";"US Dollar"
"DGB/AUD";"DigiByte";"Australian Dollar"
"DGB/BCH";"DigiByte";"Bitcoin Cash"
"DGB/BRL";"DigiByte";"Brazil Real"
"DGB/BTC";"DigiByte";"Bitcoin"
"DGB/ETH";"DigiByte";"Ethereum"
"DGB/TRY";"DigiByte";"Turkish Lira"
"DGB/USD";"DigiByte";"US Dollar"
"DGC/BTC";"Digitalcoin";"Bitcoin"
"DGCS/USD";"Digital Credits";"US Dollar"
"DGC/USD";"Digitalcoin";"US Dollar"
"DGD/BTC";"DigixDAO";"Bitcoin"
"DGD/ETH";"DigixDAO";"Ethereum"
"DGD/USD";"DigixDAO";"US Dollar"
"DGTX/BTC";"Digitex Futures";"Bitcoin"
"DGTX/ETH";"Digitex Futures";"Ethereum"
"DGTX/USD";"Digitex Futures";"US Dollar"
"DICE/ETH";"Etheroll";"Ethereum"
"DICE/USD";"Etheroll";"US Dollar"
"DIG/USD";"Dignity";"US Dollar"
"DIME/USD";"Dimecoin";"US Dollar"
"DISK/USD";"DarkLisk";"US Dollar"
"DIVI/BTC";"Divi";"Bitcoin"
"DIVI/USD";"Divi";"US Dollar"
"DIVI/XRP";"Divi";"XRP"
"DLC/BTC";"Dollarcoin";"Bitcoin"
"DLC/USD";"Dollarcoin";"US Dollar"
"DLISK/USD";"DAPPSTER";"US Dollar"
"DLT/BTC";"Agrello";"Bitcoin"
"DLT/USD";"Agrello";"US Dollar"
"DMB/BTC";"Digital Money Bits";"Bitcoin"
"DMB/USD";"Digital Money Bits";"US Dollar"
"DMG/ETH";"DMM: Governance";"Ethereum"
"DMG/USD";"DMM: Governance";"US Dollar"
"DMT/BTC";"DMarket";"Bitcoin"
"DMT/USD";"DMarket";"US Dollar"
"DNR/USD";"Denarius";"US Dollar"
"DNT/BTC";"district0x";"Bitcoin"
"DNT/ETH";"district0x";"Ethereum"
"DNT/USD";"district0x";"US Dollar"
"DNT/XRP";"district0x";"XRP"
"DOCK/BTC";"Dock";"Bitcoin"
"DOCK/ETH";"Dock";"Ethereum"
"DOCK/USD";"Dock";"US Dollar"
"DOGE/AED";"Dogecoin";"UAE Dirham"
"DOGE/AUD";"Dogecoin";"Australian Dollar"
"DOGE/BRL";"Dogecoin";"Brazil Real"
"DOGE/BTC";"Dogecoin";"Bitcoin"
"DOGE/BUSD";"Dogecoin";"Binance USD"
"DOGE/CAD";"Dogecoin";"Canadian Dollar"
"DOGE/CNY";"Dogecoin";"Chinese Yuan"
"DOGE/ETH";"Dogecoin";"Ethereum"
"DOGE/EUR";"Dogecoin";"Euro"
"DOGE/INR";"Dogecoin";"Indian Rupee"
"DOGE/KRW";"Dogecoin";"Korean Won"
"DOGE/RUB";"Dogecoin";"Russian Ruble"
"DOGE/TRY";"Dogecoin";"Turkish Lira"
"DOGE/USD";"Dogecoin";"US Dollar"
"DOLLAR/BTC";"Dollar Online";"Bitcoin"
"DOLLAR/USD";"Dollar Online";"US Dollar"
"DOPE/BTC";"DopeCoin";"Bitcoin"
"DOPE/USD";"DopeCoin";"US Dollar"
"DOT/USD";"Dotcoin";"US Dollar"
"DOV/BTC";"Dovu";"Bitcoin"
"DOV/ETH";"Dovu";"Ethereum"
"DOVU/USD";"Dovu";"US Dollar"
"DP/USD";"DigitalPrice";"US Dollar"
"DPY/ETH";"Delphy";"Ethereum"
"DPY/USD";"Delphy";"US Dollar"
"DREAM/BTC";"DreamTeam";"Bitcoin"
"DREAM/USD";"DreamTeam";"US Dollar"
"DREP/BTC";"DREP";"Bitcoin"
"DREP/USD";"DREP";"US Dollar"
"DRG/BTC";"Dragon Coins";"Bitcoin"
"DRG/ETH";"Dragon Coins";"Ethereum"
"DRGN/BTC";"Dragonchain";"Bitcoin"
"DRGN/ETH";"Dragonchain";"Ethereum"
"DRGN/USD";"Dragonchain";"US Dollar"
"DRG/USD";"Dragon Coins";"US Dollar"
"DRM/BTC";"Dreamcoin";"Bitcoin"
"DRM/USD";"Dreamcoin";"US Dollar"
"DROP/ETH";"Dropil";"Ethereum"
"DROP/USD";"Dropil";"US Dollar"
"DRP/USD";"DCORP";"US Dollar"
"DRS/USD";"Digital Rupees";"US Dollar"
"DRT/BTC";"DomRaider";"Bitcoin"
"DRT/ETH";"DomRaider";"Ethereum"
"DRT/USD";"DomRaider";"US Dollar"
"DRXNE/USD";"DROXNE";"US Dollar"
"DSR/BTC";"Desire";"Bitcoin"
"DSR/USD";"Desire";"US Dollar"
"DTA/BTC";"DATA";"Bitcoin"
"DTA/ETH";"DATA";"Ethereum"
"DTA/USD";"DATA";"US Dollar"
"DTB/USD";"Databits";"US Dollar"
"DTEP/BTC";"DECOIN";"Bitcoin"
"DTEP/USD";"DECOIN";"US Dollar"
"DUB/USD";"Dubstep";"US Dollar"
"DUO/BTC";"ParallelCoin";"Bitcoin"
"DUO/DOGE";"ParallelCoin";"Dogecoin"
"DUO/ETH";"ParallelCoin";"Ethereum"
"DUO/USD";"ParallelCoin";"US Dollar"
"DUSK/BTC";"Dusk Network";"Bitcoin"
"DUSK/USD";"Dusk Network";"US Dollar"
"DUTCH/USD";"Dutch Coin";"US Dollar"
"DYDX/USD";"dYdX";"US Dollar"
"DYM/USD";"Dymension";"US Dollar"
"DYNMT/BTC";"Dynamite";"Bitcoin"
"DYNMT/ETH";"Dynamite";"Ethereum"
"DYNMT/USD";"Dynamite";"US Dollar"
"DYN/USD";"Dynamic";"US Dollar"
"EAC/BTC";"EarthCoin";"Bitcoin"
"EAC/USD";"EarthCoin";"US Dollar"
"EAGLE/USD";"EagleCoin";"US Dollar"
"EBCH/USD";"eBitcoinCash";"US Dollar"
"EBET/USD";"EthBet";"US Dollar"
"EBST/BNB";"eBoost";"Binance Coin"
"EBST/USD";"eBoost";"US Dollar"
"EBTC/ETH";"eBitcoin";"Ethereum"
"EBTC/USD";"eBitcoin";"US Dollar"
"EBT/USD";"Ebittree Coin";"US Dollar"
"ECASH/BTC";"Ethereum Cash";"Bitcoin"
"ECASH/USD";"Ethereum Cash";"US Dollar"
"ECA/USD";"Electra";"US Dollar"
"ECC/BTC";"ECC";"Bitcoin"
